Date,101STM,102STM,103STM,104STM,105STM,106STM,107STM,108STM,109STM,110STM,115STM,116STM,117STM,WOR
2017-09-28,7434.380232,5233.510419,5091.532924,5986.029933,12055.46545,8632.12188,7276.35458,8979.545036,5645.587511,7107.215596,3749.883228,1246.148736,2932.330337,2.717896626
2017-09-29,7448.854031,5537.960754,4241.250624,5035.296438,10395.43899,8510.255064,6815.835927,8530.64695,5742.042354,6920.671514,3973.213052,4526.907213,4250.889536,2.662036951
2017-09-30,7058.873625,5473.036853,4598.001337,5935.386,9389.748165,8124.480013,6017.565569,8499.260645,5807.640816,6517.85085,3861.928494,6637.463545,4317.55557,2.689465362
2017-10-01,6078.790393,4682.880718,5444.331774,7906.709185,9251.705049,7421.064449,5601.717061,8489.431503,5875.987136,6292.893484,3882.824173,6735.833636,4339.448115,2.655094434
2017-10-02,5708.625411,4387.877009,5695.596576,8573.828091,9179.916212,7030.308632,5964.681325,6362.49326,5910.479599,6406.632887,3828.29422,7194.333714,4356.410736,2.638430254
2017-10-03,6337.414659,4804.945987,5668.628557,8178.839869,9191.108901,7502.4142,6900.304078,2120.626343,5936.940538,6675.148661,3831.897548,8301.550496,4366.161506,2.663644193
2017-10-04,6886.208933,5176.149932,5612.748914,7953.217976,9214.065381,7741.7053,7484.7691,13.11241073,6078.693775,6750.440297,4120.424686,8997.945848,4371.421261,2.653086897
2017-10-05,7037.719733,5346.275502,5528.232326,7937.26641,9169.988286,7188.797718,7381.197904,5.039052633,6231.770683,6667.048028,4396.991362,8883.819903,4409.015867,2.571106015
2017-10-06,7176.062127,5437.283346,5822.20964,8152.551389,9395.577239,7023.912675,7278.760589,399.9808563,6289.533216,6694.843371,4443.829877,8552.516775,4457.150128,2.616647108
2017-10-07,6565.61451,4954.214911,6338.990132,8625.682765,9555.67808,7075.200808,6362.635797,2993.908536,6316.691475,6757.088423,4444.238756,8100.153246,4482.315591,2.700275661
2017-10-08,5707.514346,4365.536697,6373.670526,8626.454672,9301.913678,7047.012666,5375.962345,5897.933871,6321.024881,6825.929625,4444.695325,7642.251847,4500.692065,2.705143897
2017-10-09,5705.019957,4364.737571,6372.798465,8510.398918,9249.575968,6797.465806,5536.325652,6595.231256,6323.26358,6736.928129,4444.612361,7282.31962,4422.774504,2.668118393
2017-10-10,5977.260036,4541.177238,6371.439236,8517.698616,9296.363288,6293.703195,6065.411552,6583.498154,6323.240008,6715.035788,4444.457985,7243.491608,4244.353317,2.706362341
2017-10-11,6203.264694,4684.884252,6370.631195,8576.367563,9419.808562,5724.091437,6862.991629,6566.324231,6381.554127,6812.671578,4444.335683,7465.088033,3771.958357,2.730626626
2017-10-12,6101.549391,4616.99681,6368.730801,8571.909039,9484.813854,5613.151654,7203.408722,6582.833448,6454.295255,6825.223779,4443.953938,7601.984076,3394.787536,2.767243701
2017-10-13,5893.97662,4482.565075,6366.48269,8577.984425,9339.433048,5692.904923,7059.027475,6565.597258,6477.164973,6781.903664,4443.479124,7544.582824,3441.273735,2.731211976
2017-10-14,4720.544361,3722.846635,6364.123998,8569.412328,9349.294109,5681.029834,6879.573847,6545.451287,6458.080066,6646.539905,4443.041504,7309.032127,3486.645435,2.71641035
2017-10-15,4191.299536,3382.050865,5028.068607,6403.480606,8624.634025,5527.007311,6308.319253,6002.00636,6400.234127,6739.711662,4442.745286,6476.376933,3486.09291,2.682718679
2017-10-16,5112.155983,3982.128172,3375.47329,3581.545084,8297.653504,5496.810668,6076.172626,5636.894326,6381.434131,7028.032594,4442.561455,6033.857233,3486.005534,2.749060993
2017-10-17,4916.611458,3839.715058,4347.17876,5386.991167,8530.422336,5502.097442,6097.289476,5669.083454,6387.092481,7128.244535,4442.289806,6095.366455,3486.864539,2.743172285
2017-10-18,4823.078301,4412.981295,5754.175425,8252.818813,8765.640427,5532.251109,6115.393983,5850.41593,6376.421578,6042.873148,4442.319514,6434.4054,3486.831298,2.767942532
